user,case,time_interval_area_chart,time_interval_area_history,time_interval_area_library,time_interval_area_summarize,time_interval_evidence_all_actions,time_interval_linking_evidence,time_interval_adding_evidence,time_interval_unlinking_evidence,time_interval_lab_test,time_interval_categorize,time_interval_change_hypothesis,time_interval_prioritize,time_interval_delete_hypothesis,time_interval_select_hypothesis,time_interval_check_summary,time_interval_help,time_taken_to_solve_case_in_seconds,percentageofevidenceitemsandlabtestsmatcheswithexpertsolution,number_of_lab_tests_ordered,confidence_percentage,perceived_difficulty,correctness_diagnostic_is_correct_true_false,goal_orientation_m,goal_orientation_pp,goal_orientation_pa,feq_class,feedback_time_seconds,feedback_accepting,feedback_modifying_manipulating,feedback_rejecting,feedback_seeking,feedback_self_generating
BP01,Amy,507,496,0,8,178,107,71,0,294,120,33,180,0,42,8,0,1311,43,4,75,Good Review,1,1,0,0,Shame/Relief,144,4,1,3,0,1
BP01,Cynthia,962,526,150,10,161,0,161,0,653,122,73,60,0,19,10,11,1830,62,11,60,Good Review,1,1,0,0,Shame/Relief,102,1,0,0,0,0
BP01,Susan Taylor,532,376,37,15,277,171,106,0,260,127,44,170,0,20,15,3,1257,70,5,80,Too Easy,1,1,0,0,Shame/Relief,220,7,1,0,0,1
BP10,Amy,165,370,57,5,283,112,171,2,104,55,5,35,0,7,5,0,687,37,2,95,Good Review,1,1,0,0,Pride,132,1,0,0,0,4
BP10,Cynthia,79,65,0,4,39,0,39,0,62,17,5,21,0,2,4,0,186,62,4,100,Challenging,1,1,0,0,Pride,74,3,0,0,0,1
BP10,Susan Taylor,355,193,124,6,159,7,152,0,284,68,3,65,0,5,6,0,811,90,12,100,Challenging,0,1,0,0,Pride,98,2,0,0,1,2
BP11,Amy,767,409,116,6,183,0,183,0,533,61,182,60,0,7,6,0,1419,43,13,85,Challenging,1,1,1,1,Shame/Relief,217,2,1,0,1,0
BP11,Cynthia,1041,300,340,7,315,203,112,0,652,59,108,37,0,70,7,0,1784,62,16,75,Challenging,1,1,1,1,Pride/Relief,196,1,2,0,1,1
BP11,Susan Taylor,504,273,19,5,209,100,109,8,266,68,137,77,0,3,5,0,946,90,10,90,Good Review,1,1,1,1,Pride,184,3,2,0,0,2
BP13,Amy,417,638,60,83,205,122,83,40,295,81,84,67,0,7,83,0,1346,31,7,62,Challenging,1,1,0,1,Shame/Relief,143,0,0,0,0,0
BP13,Cynthia,492,627,43,112,432,227,205,0,281,127,14,80,0,3,112,13,1787,37,7,65,Good Review,0,1,0,1,Shame/Relief,111,0,0,0,0,0
BP13,Susan Taylor,277,416,166,67,327,186,141,0,175,92,26,109,0,7,67,0,1127,10,5,70,Good Review,0,1,0,1,Shame/Relief,200,0,0,0,0,0
BP14,Amy,548,490,241,281,99,0,99,0,375,193,140,146,10,47,281,0,1899,62,15,90,Challenging,1,1,1,1,Shame/Relief,224,3,0,0,2,0
BP14,Cynthia,755,534,173,225,139,0,139,0,648,325,52,162,0,30,225,0,2174,50,28,50,Good Review,1,1,1,1,Shame/Relief,114,1,0,0,1,0
BP14,Susan Taylor,553,300,312,174,113,0,113,0,310,140,190,154,0,78,174,0,1633,90,14,93,Good Review,1,1,1,1,Shame/Relief,234,0,0,1,1,1
BP15,Amy,711,269,125,5,289,170,119,0,378,129,100,105,0,4,5,0,,62,12,80,Difficult,0,1,1,1,Shame/Relief,,0,0,0,5,0
